Parti,Nama Calon,Undi,Majoriti,Tahun,Negeri,Kawasan DUN,Kod Parlimen,Keputusan,Jumlah Undi,Bahagian Undi(%),Jumlah Layak Mengundi,Pengundi Melayu(%),Pengundi Cina(%),Pengundi India(%),Pengundi Lain-Lain(%),Pengundi Melayu Islam Bumiputera(%),Pengundi Melayu Bukan Islam Bumiputera(%),Pengundi Sabah Bumiputera(%)
MCA,LOH YOON FOO,3668,2192,2004,PERLIS,TITI TINGGI,001-001,MENANG,5144,71.30637636,6887,71,25,3,0,0,0,0
PKR,KO CHU LIANG,1476,0,2004,PERLIS,TITI TINGGI,001-001,KALAH,5144,28.69362364,6887,71,25,3,0,0,0,0
UMNO,DATUK ZAHIDI ZAINUL ABIDIN,3492,1871,2004,PERLIS,BESERI,001-002,MENANG,5113,68.29649912,6645,75,23,1,1,0,0,0
PAS,MOHD ANUAR MOHD TAHIR,1621,0,2004,PERLIS,BESERI,001-002,KALAH,5113,31.70350088,6645,75,23,1,1,0,0,0
UMNO,MANSOR JUSOH,4632,2590,2004,PERLIS,CHUPING,001-003,MENANG,6674,69.40365598,7802,85,4,2,10,0,0,0
PAS,MOHD ALI PUTEH,2042,0,2004,PERLIS,CHUPING,001-003,KALAH,6674,30.59634402,7802,85,4,2,10,0,0,0
UMNO,KHAIRI HASSAN,3041,1603,2004,PERLIS,MATA AYER,001-004,MENANG,4479,67.89461933,5557,90,4,2,4,0,0,0
PAS,SUWARDI YAACOB,1438,0,2004,PERLIS,MATA AYER,001-004,KALAH,4479,32.10538067,5557,90,4,2,4,0,0,0
UMNO,SABRY AHMAD,3284,578,2004,PERLIS,SANTAN,001-005,MENANG,5990,54.82470785,7008,99,1,0,0,0,0,0
PAS,ZOLKHARNAIN ABIDIN,2706,0,2004,PERLIS,SANTAN,001-005,KALAH,5990,45.17529215,7008,99,1,0,0,0,0,0
UMNO,RUSLI MAT HUSIN,4076,1508,2004,PERLIS,BINTONG,002-006,MENANG,6644,61.34858519,7850,96,3,1,0,0,0,0
PAS,ABDUL ZAKARIA,2568,0,2004,PERLIS,BINTONG,002-006,KALAH,6644,38.65141481,7850,96,3,1,0,0,0,0
UMNO,AZIHANI ALI,4001,1584,2004,PERLIS,SENA,002-007,MENANG,6418,62.34029293,7979,82,11,4,3,0,0,0
PAS,AHMAD ADNAN FADZIL,2417,0,2004,PERLIS,SENA,002-007,KALAH,6418,37.65970707,7979,82,11,4,3,0,0,0
MCA,OUI AH LAN,5243,3564,2004,PERLIS,INDERA KAYANGAN,002-008,MENANG,6922,75.74400462,9314,47,47,5,1,0,0,0
PKR,KHOO YANG CHONG,1679,0,2004,PERLIS,INDERA KAYANGAN,002-008,KALAH,6922,24.25599538,9314,47,47,5,1,0,0,0
UMNO,BAKAR SAAD,4495,2824,2004,PERLIS,KUALA PERLIS,002-009,MENANG,6166,72.89977295,8024,77,22,0,1,0,0,0
PKR,MOHD YUSOF UBI @ MADARSA,1671,0,2004,PERLIS,KUALA PERLIS,002-009,KALAH,6166,27.10022705,8024,77,22,0,1,0,0,0
UMNO,AZAM RASHID,3705,1327,2004,PERLIS,KAYANG,002-010,MENANG,6083,60.90744698,7349,95,3,1,2,0,0,0
PAS,KU MAHMOOD KU ISMAIL,2378,0,2004,PERLIS,KAYANG,002-010,KALAH,6083,39.09255302,7349,95,3,1,2,0,0,0
UMNO,DATUK ABU BAKAR ISMAIL,3795,1585,2004,PERLIS,PAUH,003-011,MENANG,6005,63.19733555,7601,75,18,6,2,0,0,0
PAS,ABU BAKAR ALI,2210,0,2004,PERLIS,PAUH,003-011,KALAH,6005,36.80266445,7601,75,18,6,2,0,0,0
UMNO,DATUK SERI SHAHIDAN KASSIM,4422,1742,2004,PERLIS,TAMBUN TULANG,003-012,MENANG,7102,62.26415094,8447,85,4,2,9,0,0,0
PAS,DATUK DR HARUN DIN,2680,0,2004,PERLIS,TAMBUN TULANG,003-012,KALAH,7102,37.73584906,8447,85,4,2,9,0,0,0
UMNO,JAPERIA OTHMAN,3378,145,2004,PERLIS,GUAR SANJI,003-013,MENANG,6611,51.09665709,7765,98,2,0,0,0,0,0
PAS,AHMAD ALI,3233,0,2004,PERLIS,GUAR SANJI,003-013,KALAH,6611,48.90334291,7765,98,2,0,0,0,0,0
UMNO,ZAHARI BAKAR,2795,276,2004,PERLIS,SIMPANG EMPAT,003-014,MENANG,5314,52.59691381,6554,88,12,0,0,0,0,0
PAS,DR CHE ROSLI CHE MAT,2519,0,2004,PERLIS,SIMPANG EMPAT,003-014,KALAH,5314,47.40308619,6554,88,12,0,0,0,0,0
PAS,HASHIM JASIN,3221,45,2004,PERLIS,SANGLANG,003-015,MENANG,6397,50.35172737,7700,90,9,0,0,0,0,0
UMNO,DATUK MASTIKA JUNAIDAH HUSIN,3176,0,2004,PERLIS,SANGLANG,003-015,KALAH,6397,49.64827263,7700,90,9,0,0,0,0,0
UMNO,DATUK MD HASSAN BULAT,7597,2803,2004,KEDAH,AYER HANGAT,004-001,MENANG,12391,61.31062868,15213,94,3,3,0,0,0,0
PAS,YUSOF ISMAIL,4794,0,2004,KEDAH,AYER HANGAT,004-001,KALAH,12391,38.68937132,15213,94,3,3,0,0,0,0
UMNO,NAWAWI AHMAD,8065,6175,2004,KEDAH,KUAH,004-002,MENANG,9955,81.01456554,12767,85,13,2,0,0,0,0
PAS,MAZLAN AHMAD,1890,0,2004,KEDAH,KUAH,004-002,KALAH,9955,18.98543446,12767,85,13,2,0,0,0,0
UMNO,ABU HASSAN SARIF,8614,1573,2004,KEDAH,KOTA SIPUTEH,005-003,MENANG,15655,55.02395401,19209,91,8,0,1,0,0,0
PAS,ABDUL WAHAB RAHMAN,7041,0,2004,KEDAH,KOTA SIPUTEH,005-003,KALAH,15655,44.97604599,19209,91,8,0,1,0,0,0
UMNO,ABD GHANI AHMAD,10759,860,2004,KEDAH,AYER HITAM,005-004,MENANG,20658,52.08151806,24939,89,9,0,2,0,0,0
PAS,OTHMAN AZIZ,9899,0,2004,KEDAH,AYER HITAM,005-004,KALAH,20658,47.91848194,24939,89,9,0,2,0,0,0
UMNO,KHALIDAH ABIDAH AYOB,12945,6972,2004,KEDAH,BUKIT KAYU HITAM,006-005,MENANG,18918,68.42689502,23463,88,9,2,1,0,0,0
PAS,NANYAN SAAD,5973,0,2004,KEDAH,BUKIT KAYU HITAM,006-005,KALAH,18918,31.57310498,23463,88,9,2,1,0,0,0
UMNO,PROF DATUK DR OTHMAN ISHAK,13297,5756,2004,KEDAH,JITRA,006-006,MENANG,20838,63.81130627,26131,81,12,6,1,0,0,0
PAS,DR ROHANI ABDUL MUTTALIB,7541,0,2004,KEDAH,JITRA,006-006,KALAH,20838,36.18869373,26131,81,12,6,1,0,0,0
UMNO,DATUK DR AFFIFUDDIN OMAR,7746,1310,2004,KEDAH,KUALA NERANG,007-007,MENANG,14182,54.61853053,16766,96,2,1,1,0,0,0
PAS,MUHD YUSOFF @MUNIR B ZAKARIA,6436,0,2004,KEDAH,KUALA NERANG,007-007,KALAH,14182,45.38146947,16766,96,2,1,1,0,0,0
UMNO,DATUK MAHDZIR KHALID,7684,1899,2004,KEDAH,PEDU,007-008,MENANG,13469,57.04952112,15646,87,1,1,11,0,0,0
PAS,WAN JAAFAR WAN AHMAD,5785,0,2004,KEDAH,PEDU,007-008,KALAH,13469,42.95047888,15646,87,1,1,11,0,0,0
UMNO,ARIFFIN MAN,10656,2769,2004,KEDAH,BUKIT LADA,008-009,MENANG,18543,57.46642938,22201,88,9,2,1,0,0,0
PAS,SHIEKH ISMAIL KHAMIS,7887,0,2004,KEDAH,BUKIT LADA,008-009,KALAH,18543,42.53357062,22201,88,9,2,1,0,0,0
PAS,MD ROSHIDI OSMAN,9636,937,2004,KEDAH,BUKIT PINANG,008-010,MENANG,18335,52.55522225,22617,92,7,1,0,0,0,0
UMNO,DATUK AHMAD LEBAI SUDIN,8699,0,2004,KEDAH,BUKIT PINANG,008-010,KALAH,18335,47.44477775,22617,92,7,1,0,0,0,0
GERAKAN,CHEUNG KHAI YEUN,10827,6162,2004,KEDAH,DERGA,008-011,MENANG,15492,69.88768397,21254,53,42,5,0,0,0,0
PKR,ROHANI BAKAR,4665,0,2004,KEDAH,DERGA,008-011,KALAH,15492,30.11231603,21254,53,42,5,0,0,0,0
UMNO,DATUK AHMAD BASHAH MD HANIPAH,11091,6037,2004,KEDAH,BAKAR BATA,009-012,MENANG,16145,68.69619077,21617,65,28,6,0,0,0,0
PAS,DR ISMAIL SALLEH,5054,0,2004,KEDAH,BAKAR BATA,009-012,KALAH,16145,31.30380923,21617,65,28,6,0,0,0,0
MCA,DATUK CHONG ITT CHEW,9094,7218,2004,KEDAH,KOTA DARULAMAN,009-013,MENANG,10970,82.89881495,16207,29,64,7,0,0,0,0
PKR,YAP SHUI FAH,1876,0,2004,KEDAH,KOTA DARULAMAN,009-013,KALAH,10970,17.10118505,16207,29,64,7,0,0,0,0
UMNO,FADZIL HANAFI,9095,2827,2004,KEDAH,ALOR MENGKUDU,009-014,MENANG,15363,59.20067695,19489,75,21,3,0,0,0,0
PAS,MOHAMED SABU,6268,0,2004,KEDAH,ALOR MENGKUDU,009-014,KALAH,15363,40.79932305,19489,75,21,3,0,0,0,0
PAS,AMIRUDDIN HAMZAH,10240,96,2004,KEDAH,ANAK BUKIT,010-015,MENANG,20384,50.23547881,24523,87,11,2,0,0,0,0
UMNO,ABDUL MUTHALIB HARUN,10144,0,2004,KEDAH,ANAK BUKIT,010-015,KALAH,20384,49.76452119,24523,87,11,2,0,0,0,0
UMNO,DATUK SERI SYED RAZAK SYED ZAIN,14468,7941,2004,KEDAH,KUBANG ROTAN,010-016,MENANG,20995,68.91164563,27329,69,29,2,0,0,0,0
PKR,SAIFUDDIN NASUTION ISMAIL,6527,0,2004,KEDAH,KUBANG ROTAN,010-016,KALAH,20995,31.08835437,27329,69,29,2,0,0,0,0
UMNO,MOHD JAMIL IDRUS,12584,3429,2004,KEDAH,PENGKALAN KUNDOR,010-017,MENANG,21739,57.88674732,26939,75,23,2,0,0,0,0
PAS,PHAHROLRZAI ZAWAWI,9155,0,2004,KEDAH,PENGKALAN KUNDOR,010-017,KALAH,21739,42.11325268,26939,75,23,2,0,0,0,0
PAS,MOHD TAULAN RASUL,14790,4179,2004,KEDAH,TOKAI,011-018,MENANG,25401,58.22605409,29254,90,10,0,0,0,0,0
UMNO,SAMSUDDIN TAHIR,10611,0,2004,KEDAH,TOKAI,011-018,KALAH,25401,41.77394591,29254,90,10,0,0,0,0,0
UMNO,SURAYA YAACOB,13948,4250,2004,KEDAH,SUNGAI TIANG,011-019,MENANG,23646,58.9867208,27926,85,3,2,10,0,0,0
PAS,ABDUL MUTALIB AWANG,9698,0,2004,KEDAH,SUNGAI TIANG,011-019,KALAH,23646,41.0132792,27926,85,3,2,10,0,0,0
PAS,AZIZAN ABDUL RAZAK,10882,1080,2004,KEDAH,SUNGAI LIMAU,012-020,MENANG,20684,52.6107136,24820,92,8,0,0,0,0,0
UMNO,DATUK SHUHAIMI ABDULLAH,9802,0,2004,KEDAH,SUNGAI LIMAU,012-020,KALAH,20684,47.3892864,24820,92,8,0,0,0,0,0
UMNO,DATUK ABDUL RAZAK HASHIM,8949,3966,2004,KEDAH,GUAR CHEMPEDAK,012-021,MENANG,13932,64.23341947,17985,86,12,1,0,0,0,0
PAS,MOHD AFIF ABDULLAH,4983,0,2004,KEDAH,GUAR CHEMPEDAK,012-021,KALAH,13932,35.76658053,17985,86,12,1,0,0,0,0
MCA,DATUK BEH HENG SIONG,10748,7071,2004,KEDAH,GURUN,012-022,MENANG,15123,71.07055478,21081,53,29,18,0,0,0,0
PKR,KALAI VANAR A/L BALA SUNDRAM,3677,0,2004,KEDAH,GURUN,012-022,KALAH,15123,24.31395887,21081,53,29,18,0,0,0,0
DAP,TAN CHOY,698,0,2004,KEDAH,GURUN,012-022,KALAH,15123,4.615486345,21081,53,29,18,0,0,0,0
PAS,MOHD ISA SHAFIE,7310,51,2004,KEDAH,BELANTEK,013-023,MENANG,14569,50.17502917,17314,93,3,1,4,0,0,0
UMNO,SALLEH ISMAIL,7259,0,2004,KEDAH,BELANTEK,013-023,KALAH,14569,49.82497083,17314,93,3,1,4,0,0,0
UMNO,ISMAIL HARUN,8631,640,2004,KEDAH,JENERI,013-024,MENANG,16622,51.92515943,19722,92,2,1,6,0,0,0
PAS,YAHAYA ABDULLAH,7991,0,2004,KEDAH,JENERI,013-024,KALAH,16622,48.07484057,19722,92,2,1,6,0,0,0
MIC,DATUK V SARAVANAN,14196,7695,2004,KEDAH,BUKIT SELAMBAU,014-025,MENANG,22817,62.2167682,30322,48,22,29,1,0,0,0
PKR,MUSTAFA KHALID HANAFI,6501,0,2004,KEDAH,BUKIT SELAMBAU,014-025,KALAH,22817,28.49191392,30322,48,22,29,1,0,0,0
DAP,G GHANAGARU A/L GANISAN,2120,0,2004,KEDAH,BUKIT SELAMBAU,014-025,KALAH,22817,9.291317877,30322,48,22,29,1,0,0,0
UMNO,DATUK ARZMI HAMID,13111,5151,2004,KEDAH,TANJONG DAWAI,014-026,MENANG,21071,62.22296047,27600,78,15,6,1,0,0,0
PAS,DR HAMDAN MOHAMED KHALIB,7960,0,2004,KEDAH,TANJONG DAWAI,014-026,KALAH,21071,37.77703953,27600,78,15,6,1,0,0,0
UMNO,DR SHUIB SAIDIN,11742,2661,2004,KEDAH,PANTAI MERDEKA,015-027,MENANG,20823,56.38956923,24746,92,6,1,0,0,0,0
PAS,SHAHABUDIN JAAFAR,9081,0,2004,KEDAH,PANTAI MERDEKA,015-027,KALAH,20823,43.61043077,24746,92,6,1,0,0,0,0
MCA,SOON KOK HWA,14204,8899,2004,KEDAH,BAKAR ARANG,015-028,MENANG,19509,72.80742222,26326,42,45,13,1,0,0,0
PKR,JOHARI ABDUL,5305,0,2004,KEDAH,BAKAR ARANG,015-028,KALAH,19509,27.19257778,26326,42,45,13,1,0,0,0
GERAKAN,DATUK FONG CHOK GIN,10287,6134,2004,KEDAH,SIDAM,015-029,MENANG,14440,71.23961219,19848,35,45,20,1,0,0,0
PKR,LIM SOO NEE,4153,0,2004,KEDAH,SIDAM,015-029,KALAH,14440,28.76038781,19848,35,45,20,1,0,0,0
UMNO,MOHD SALLEH YAACOB,12354,1786,2004,KEDAH,BAYU,016-030,MENANG,22922,53.89582061,27583,91,6,1,2,0,0,0
PAS,TAIB AZAMUDDIN MD TAIB,10568,0,2004,KEDAH,BAYU,016-030,KALAH,22922,46.10417939,27583,91,6,1,2,0,0,0
UMNO,ISMAIL ABU BAKAR,10571,1006,2004,KEDAH,KUPANG,016-031,MENANG,20136,52.49801351,24659,89,5,4,1,0,0,0
PAS,SUHAIMI AHMAD,9565,0,2004,KEDAH,KUPANG,016-031,KALAH,20136,47.50198649,24659,89,5,4,1,0,0,0
UMNO,DATUK ABDUL AZIZ SHEIKH KADZIR,9323,462,2004,KEDAH,KUALA KETIL,016-032,MENANG,18184,51.27034756,22456,79,8,12,1,0,0,0
PAS,MD ZUKI YUSOFF,8861,0,2004,KEDAH,KUALA KETIL,016-032,KALAH,18184,48.72965244,22456,79,8,12,1,0,0,0
UMNO,DATUK MOHD HADZIR ISMAIL,13825,7415,2004,KEDAH,MERBAU PULAS,017-033,MENANG,20235,68.32221399,25958,62,17,21,1,0,0,0
PAS,SITI AISHAH GHAZALI,6410,0,2004,KEDAH,MERBAU PULAS,017-033,KALAH,20235,31.67778601,25958,62,17,21,1,0,0,0
MIC,S GANESAN,13218,4239,2004,KEDAH,LUNAS,017-034,MENANG,22197,59.54858765,27967,44,31,24,1,0,0,0
PKR,TIAN CHUA,8979,0,2004,KEDAH,LUNAS,017-034,KALAH,22197,40.45141235,27967,44,31,24,1,0,0,0
MCA,BOEY CHIN GAN,13497,7365,2004,KEDAH,KULIM,018-035,MENANG,19629,68.76050741,27147,60,25,16,0,0,0,0
PKR,ALWI MOHAMED YUSOP,6132,0,2004,KEDAH,KULIM,018-035,KALAH,19629,31.23949259,27147,60,25,16,0,0,0,0
UMNO,DATUK AZIMI DAIM,10752,3878,2004,KEDAH,BANDAR BAHARU,018-036,MENANG,17626,61.00079428,22877,75,18,7,0,0,0,0
PAS,YAAKOB HUSSEIN,6874,0,2004,KEDAH,BANDAR BAHARU,018-036,KALAH,17626,38.99920572,22877,75,18,7,0,0,0,0
UMNO,DATUK NOOR ZAHAIDI OMAR,6638,714,2004,KELANTAN,PENGKALAN KUBOR,019-001,MENANG,12562,52.84190416,17750,91,1,1,7,0,0,0
PAS,WAN HUSSIN WAN AHMAD,5924,0,2004,KELANTAN,PENGKALAN KUBOR,019-001,KALAH,12562,47.15809584,17750,91,1,1,7,0,0,0
PAS,MOHAMED ZAKI IBRAHIM,6911,691,2004,KELANTAN,KELABORAN,019-002,MENANG,13131,52.63117813,17052,87,3,1,8,0,0,0
UMNO,DATUK WAN JOHANI WAN HUSSEIN,6220,0,2004,KELANTAN,KELABORAN,019-002,KALAH,13131,47.36882187,17052,87,3,1,8,0,0,0
PAS,AHMAD YAKOB,8855,2271,2004,KELANTAN,PASIR PEKAN,019-003,MENANG,15439,57.35475096,19550,99,1,0,0,0,0,0
UMNO,MOHD NOOR YAACOB,6584,0,2004,KELANTAN,PASIR PEKAN,019-003,KALAH,15439,42.64524904,19550,99,1,0,0,0,0,0
UMNO,MOHD ROSDI AB AZIZ,7280,1406,2004,KELANTAN,WAKAF BHARU,019-004,MENANG,13154,55.34438194,16458,89,9,0,2,0,0,0
PAS,RAMLI ABU BAKAR,5874,0,2004,KELANTAN,WAKAF BHARU,019-004,KALAH,13154,44.65561806,16458,89,9,0,2,0,0,0
PAS,HUSAM MUSA,6916,2882,2004,KELANTAN,KIJANG,020-005,MENANG,10950,63.15981735,14022,96,4,0,0,0,0,0
UMNO,CHE ROSLI HASSAN,4034,0,2004,KELANTAN,KIJANG,020-005,KALAH,10950,36.84018265,14022,96,4,0,0,0,0,0
PAS,DATUK NIK ABDUL AZIZ NIK MAT,7889,3694,2004,KELANTAN,CHEMPAKA,020-006,MENANG,12084,65.28467395,15229,99,1,0,0,0,0,0
UMNO,RUHANI MAMAT,4195,0,2004,KELANTAN,CHEMPAKA,020-006,KALAH,12084,34.71532605,15229,99,1,0,0,0,0,0
PAS,NIK AMAR NIK ABDULLAH,7123,2085,2004,KELANTAN,PANCHOR,020-007,MENANG,12161,58.57248582,15593,98,2,1,0,0,0,0
UMNO,ZULKIFLI DOLLAH,5038,0,2004,KELANTAN,PANCHOR,020-007,KALAH,12161,41.42751418,15593,98,2,1,0,0,0,0
PAS,ROHANI IBRAHIM,8015,2789,2004,KELANTAN,TANJONG MAS,021-008,MENANG,13241,60.5316819,17273,93,7,1,0,0,0,0
UMNO,CHE MANSOR ADABI CHE HASSAN,5226,0,2004,KELANTAN,TANJONG MAS,021-008,KALAH,13241,39.4683181,17273,93,7,1,0,0,0,0
PAS,ANNUAR TAN ABDULLAH,9154,34,2004,KELANTAN,KOTA LAMA,021-009,MENANG,18274,50.09302835,24787,61,37,2,1,0,0,0
MCA,LEONG SU SIANG,9120,0,2004,KELANTAN,KOTA LAMA,021-009,KALAH,18274,49.90697165,24787,61,37,2,1,0,0,0
PAS,TAKIYUDDIN HASSAN,8340,1931,2004,KELANTAN,BUNUT PAYONG,021-010,MENANG,14749,56.54620652,19349,91,7,1,0,0,0,0
UMNO,SEKH MOHD RUZI SKE AHAMAD,6409,0,2004,KELANTAN,BUNUT PAYONG,021-010,KALAH,14749,43.45379348,19349,91,7,1,0,0,0,0
UMNO,MOHD FAUZI MOHAMAD,6852,789,2004,KELANTAN,TENDONG,022-011,MENANG,12915,53.05458769,16525,98,2,0,0,0,0,0
PAS,WAN OTHMAN WAN YUSOF,6063,0,2004,KELANTAN,TENDONG,022-011,KALAH,12915,46.94541231,16525,98,2,0,0,0,0,0
PAS,WAN ABDUL AZIZ WAN FAAFAR,7168,56,2004,KELANTAN,PENGKALAN PASIR,022-012,MENANG,14280,50.19607843,18646,95,5,0,0,0,0,0
UMNO,HANAFI MAMAT,7112,0,2004,KELANTAN,PENGKALAN PASIR,022-012,KALAH,14280,49.80392157,18646,95,5,0,0,0,0,0
PAS,AB HALIM AB RAHMAN,6970,512,2004,KELANTAN,CHETOK,022-013,MENANG,13428,51.9064641,17600,95,5,0,0,0,0,0
UMNO,DATUK MUSTAFA TAIB,6458,0,2004,KELANTAN,CHETOK,022-013,KALAH,13428,48.0935359,17600,95,5,0,0,0,0,0
PAS,MOHD NASSURUDDIN DAUD,6095,2105,2004,KELANTAN,MERANTI,023-014,MENANG,10085,60.43629152,13695,99,0,0,1,0,0,0
UMNO,AB HALIM CHE MAN,3990,0,2004,KELANTAN,MERANTI,023-014,KALAH,10085,39.56370848,13695,99,0,0,1,0,0,0
UMNO,SHAARI MAT HUSSAIN,6275,1192,2004,KELANTAN,GUAL PERIOK,023-015,MENANG,11358,55.24740271,16577,97,2,0,1,0,0,0
PAS,ABDULLAH ABDUL RAZAK,5083,0,2004,KELANTAN,GUAL PERIOK,023-015,KALAH,11358,44.75259729,16577,97,2,0,1,0,0,0
UMNO,MOHD ZAIN ISMAIL,4493,868,2004,KELANTAN,BUKIT TUKU,023-016,MENANG,8118,55.34614437,10684,97,0,0,2,0,0,0
PAS,HUSSIN IBRAHIM,3625,0,2004,KELANTAN,BUKIT TUKU,023-016,KALAH,8118,44.65385563,10684,97,0,0,2,0,0,0
PAS,BUNI AMIN HAMZAH,6641,1133,2004,KELANTAN,SALOR,024-017,MENANG,12149,54.66293522,15340,98,2,0,0,0,0,0
UMNO,SITI JELIHA @ ZALEHA HUSSIN,5508,0,2004,KELANTAN,SALOR,024-017,KALAH,12149,45.33706478,15340,98,2,0,0,0,0,0
PAS,AHMAD BAIHAKI ATIQULLAH,6332,1785,2004,KELANTAN,PASIR TUMBOH,024-018,MENANG,10879,58.20387903,13734,99,1,0,0,0,0,0
UMNO,NIK AB RAHMAN NIK TAIB,4547,0,2004,KELANTAN,PASIR TUMBOH,024-018,KALAH,10879,41.79612097,13734,99,1,0,0,0,0,0
PAS,MOHAMED DAUD,8807,3256,2004,KELANTAN,DEMIT,024-019,MENANG,14358,61.33862655,18074,98,2,0,0,0,0,0
UMNO,DATUK MUHAMMAD ABDUL GHANI,5551,0,2004,KELANTAN,DEMIT,024-019,KALAH,14358,38.66137345,18074,98,2,0,0,0,0,0
PAS,HASSAN MOHAMOOD,8503,1688,2004,KELANTAN,TAWANG,025-020,MENANG,15318,55.50985768,18382,99,1,0,0,0,0,0
UMNO,MOHD ZULKIFLI ZAKARIA,6815,0,2004,KELANTAN,TAWANG,025-020,KALAH,15318,44.49014232,18382,99,1,0,0,0,0,0
PAS,DATUK OMAR MOHAMMAD,7958,1044,2004,KELANTAN,PERUPOK,025-021,MENANG,14872,53.50995159,18264,97,2,0,1,0,0,0
UMNO,MUHAMAD AB RAHMAN,6914,0,2004,KELANTAN,PERUPOK,025-021,KALAH,14872,46.49004841,18264,97,2,0,1,0,0,0
UMNO,DATUK DR ILIAS HUSSAIN,8212,1113,2004,KELANTAN,JELAWAT,025-022,MENANG,15311,53.63464176,18673,98,1,0,0,0,0,0
PAS,SHAARY AWANG,7099,0,2004,KELANTAN,JELAWAT,025-022,KALAH,15311,46.36535824,18673,98,1,0,0,0,0,0
UMNO,SAZMI ISHAK,6775,212,2004,KELANTAN,MELOR,026-023,MENANG,13338,50.79472185,16789,96,3,0,1,0,0,0
PAS,WAN ISMAIL WAN YUSOH,6563,0,2004,KELANTAN,MELOR,026-023,KALAH,13338,49.20527815,16789,96,3,0,1,0,0,0
PAS,SAHMSUDIN @ MOHAMED SHUKRI AB RAHMAN,5301,711,2004,KELANTAN,KADOK,026-024,MENANG,9891,53.59417652,12435,98,2,0,0,0,0,0
UMNO,SHARIFUDDIN DRAHMAN @ ABDUL RAHMAN,4590,0,2004,KELANTAN,KADOK,026-024,KALAH,9891,46.40582348,12435,98,2,0,0,0,0,0
UMNO,DATUK ANUAR MUSA,8509,2846,2004,KELANTAN,KOK LANAS,026-025,MENANG,14172,60.04092577,17269,96,2,0,2,0,0,0
PAS,MD ASHARI MAMAT,5663,0,2004,KELANTAN,KOK LANAS,026-025,KALAH,14172,39.95907423,17269,96,2,0,2,0,0,0
PAS,ABDUL FATAH MAHMOOD,6926,426,2004,KELANTAN,BUKIT PANAU,027-026,MENANG,13426,51.58647401,17018,89,10,0,1,0,0,0
UMNO,BAHARUDDIN YUSOF,6500,0,2004,KELANTAN,BUKIT PANAU,027-026,KALAH,13426,48.41352599,17018,89,10,0,1,0,0,0
UMNO,HASHIM SHAFIN @ SHAFAIN,5149,1116,2004,KELANTAN,GUAL IPOH,027-027,MENANG,9182,56.07710738,11563,96,1,3,0,0,0,0
PAS,WAN YUSOFF WAN MUSTAPHA,4033,0,2004,KELANTAN,GUAL IPOH,027-027,KALAH,9182,43.92289262,11563,96,1,3,0,0,0,0
PAS,MD ANIZAM AB RAHMAN,3901,352,2004,KELANTAN,KEMAHANG,027-028,MENANG,7450,52.36241611,9084,99,0,0,1,0,0,0
UMNO,NUAINUN @ SHUHANIE DERAMAN,3549,0,2004,KELANTAN,KEMAHANG,027-028,KALAH,7450,47.63758389,9084,99,0,0,1,0,0,0
PAS,SAIPUL BAHRIN MOHAMAD,5679,187,2004,KELANTAN,SELISING,028-029,MENANG,11171,50.83698863,13993,99,1,0,0,0,0,0
UMNO,AMRAN MAT NOR,5492,0,2004,KELANTAN,SELISING,028-029,KALAH,11171,49.16301137,13993,99,1,0,0,0,0,0
UMNO,ZAINAL ABIDIN MOHAMAD,7090,646,2004,KELANTAN,LIMBONGAN,028-030,MENANG,13534,52.38658194,17251,96,4,0,1,0,0,0
PAS,ZAINUDDIN AWANG HAMAT,6444,0,2004,KELANTAN,LIMBONGAN,028-030,KALAH,13534,47.61341806,17251,96,4,0,1,0,0,0
UMNO,KAMARUDIN MD NOR,6095,699,2004,KELANTAN,SEMERAK,028-031,MENANG,11491,53.04151075,13993,97,1,0,2,0,0,0
PAS,HUSSIN AWANG,5396,0,2004,KELANTAN,SEMERAK,028-031,KALAH,11491,46.95848925,13993,97,1,0,2,0,0,0
PAS,DR NIK MAZLAN NIK MOHAMAD,4969,43,2004,KELANTAN,GAAL,028-032,MENANG,9895,50.21728146,12071,99,1,0,1,0,0,0
UMNO,TUAN MUSTAFFA TUAN MAT,4926,0,2004,KELANTAN,GAAL,028-032,KALAH,9895,49.78271854,12071,99,1,0,1,0,0,0
PAS,ZULKIFLI MAMAT,5866,105,2004,KELANTAN,PULAI CHONDONG,029-033,MENANG,11627,50.45153522,14312,95,4,0,0,0,0,0
UMNO,AD HALIM ISMAIL,5761,0,2004,KELANTAN,PULAI CHONDONG,029-033,KALAH,11627,49.54846478,14312,95,4,0,0,0,0,0
PAS,ZAKARI YAACOB,5603,80,2004,KELANTAN,TEMANGAN,029-034,MENANG,11126,50.35951825,13728,93,6,1,0,0,0,0
UMNO,DATUK ISMAIL MAMAT,5523,0,2004,KELANTAN,TEMANGAN,029-034,KALAH,11126,49.64048175,13728,93,6,1,0,0,0,0
PAS,HASSAN MOHAMAD,6078,2,2004,KELANTAN,KEMUNING,029-035,MENANG,12154,50.00822774,15834,96,4,0,0,0,0,0
UMNO,DATUK WAN MOHD ZAIN WAN MOHD AMIN,6076,0,2004,KELANTAN,KEMUNING,029-035,KALAH,12154,49.99177226,15834,96,4,0,0,0,0,0
UMNO,ADHAN KECHIK,6397,2866,2004,KELANTAN,BUKIT BUNGA,030-036,MENANG,9928,64.43392425,12666,99,0,0,0,0,0,0
PAS,SUPI ABD RAZAK,3531,0,2004,KELANTAN,BUKIT BUNGA,030-036,KALAH,9928,35.56607575,12666,99,0,0,0,0,0,0
